Invoice No.,Item Name
20744,['Classic Frappe (350 ML)']
20745,['Cold Brew']
20746,"['Papparoti (Add On Nutella sauce)', 'Baked Pav Bhaji', 'South Indian Filter Kaapi (250 ML)']"
20747,"['Cappucino (250 ML)', 'Origanal South Indian Frappe (450 ML)', 'Cafe Mocha (350 ML)', 'Hot Chocolate (250 ML)', 'Berliners (Blueberry Cheese Cake Berliner)', 'Rosella Cheesecake Berliner']"
20748,['Vietnamese (350 ML)']
20749,"['Cafe Latte (250 ML)', 'Add On Syrup (Add On hazelnuts Syrup)']"
20750,['Spicy Banana Chips 60 Gm']
20751,['Choco-crinkle-cookies (COMBO 3 PCS)']
20752,['Cappucino (250 ML)']
20753,"['Cappucino (250 ML)', 'Iced Latte (350 ML)', 'ALMOND MILK (150 ML)', 'Add On Syrup (Add On Vanilla Syrup)']"
20754,['Americano (250 ML)']
20755,"['Hyderabadi Chicken Keema Pav', 'Calzones Veg (Calzone Paneer)']"
20756,"['South Indian Filter Kaapi (250 ML)', 'Chicken Calzone', 'Iced Mocha (350 ML)']"
20757,"['South Indian Filter Kaapi (150 ML)', 'Baked Vada Pav']"
20758,['Baked Vada Pav']
20759,['Americano (250 ML)']
20760,"['Cappucino (250 ML)', 'Papparoti (Plain)']"
20761,['Iced Americano (450 ML)']
20762,"['Kaapicino (250 ML)', 'Papparoti (Plain)', 'Baked Pav Bhaji', 'Baked Vada Pav']"
20763,['Hot Chocolate (250 ML)']
20764,['Classic Frappe (350 Ml)']
20765,['Cappucino (250 ML)']
20766,"['Chicken Calzone', 'Baked Vada Pav', 'Almond Honey Latte (250 ML)', 'Berliners (Nutella Berliner)', 'South Indian Filter Kaapi (150 ML)', 'Cashew Nuts Nankhatai Veg']"
20767,['Origanal South Indian Frappe (450 ML)']
20768,['Iced Americano (350 ML)']
20769,"['Iced Latte (350 ML)', 'Origanal South Indian Frappe (450 ML)']"
20770,['Hazelnut Frappe (350 ML)']
20771,['Hyderabadi Chicken Keema Pav']
20772,"['Vietnamese (350 ML)', 'Vanilla Praline (350 ML)', 'Sea Salt Dark Mocha (250 ML)', 'Chicken Calzone', 'Calzone Mix 3 Pc (Calzone Paneer)']"
20773,"['Hyderabadi Chicken Keema Pav', 'Mix Berliner 2 Pcs (Nutella Berliner)', 'Choco-crinkle-cookies (COMBO 3 PCS)', 'Madagascar Chocochip Frappe (350 ML)', 'Calzones Veg (Calzone Veg)']"
20774,['South Indian Filter Kaapi (150 ML)']
20775,"['Cappucino (250 ML)', 'South Indian Filter Kaapi (150 ML)', 'Papparoti (Plain)', 'Strawberry White Chocolate Ganache With Rosella Jam Macaroon', 'Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC)']"
20776,"['Origanal South Indian Frappe (350 ML)', 'Vietnamese (350 ML)']"
20777,"['Kaapicino (350 ML)', 'Vietnamese (350 ML)', 'Calzones Veg (Calzone Paneer)', 'Berliner Mix 3 Pcs (Lotus Biscoff Berliner)', 'Berliner Mix 3 Pcs (Dark Choco Mousse Berliner)', 'Mix Tartlet 3 Pcs (chocolate Tartlet)', 'Mix Tartlet 3 Pcs (salted Caramel tartlet)', 'Berliners (Dark Choco Mousse Berliner)']"
20778,"['Cafe Latte (250 ML)', 'Add On Syrup (Add On Vanilla Syrup)']"
20779,"['Iced Americano (350 ML)', 'Cafe Mocha (250 ML)', 'Iced Mocha (350 ML)', 'OAT MILK (200 ML)']"
20780,"['Tartlets (chocolate Tartlet)', 'Tartlets (Filter Kaapi Tartlet)']"
20781,"['Almond Honey Latte (250 ML)', 'Kaapicino (250 ML)', 'Papparoti (Plain)']"
20782,"['Cappucino (250 ML)', 'OAT MILK (200 ML)', 'Sea Salt Dark Mocha (250 ML)']"
20783,['South Indian Filter Kaapi (150 ML)']
20784,['Flat White 250 Ml']
20785,['Cold Brew']
20786,['Kaapicino (250 ML)']
20787,['Kaapicino (250 ML)']
20788,"['Papparoti (Plain)', 'Rosella Jam With Filter Coffee Ganache Macaroon (3 PCS)', 'Yellow Banana Chips 60 Gm', 'Calzones Veg (Calzone Veg)']"
20789,['Cappucino (250 ML)']
20790,['Kaapicino (250 ML)']
20791,"['Origanal South Indian Frappe (350 ML)', 'Almond Frappe (350 ML)', 'Americano (250 ML)', 'Chicken Calzone']"
20792,"['Vietnamese (350 ML)', 'Madagascar Chocochip Frappe (350 ML)', 'Berliner Mix 3 Pcs (Lotus Biscoff Berliner)']"
20793,"['Classic Frappe (350 ML)', 'Hot Chocolate (250 ML)', 'Mix Berliner 2 Pcs (Lotus Biscoff Berliner)', 'Mix Berliner 2 Pcs (Dark Choco Mousse Berliner)', 'Sea Salt Dark Mocha Frappe (350 ML)', 'OAT MILK (200 ML)', 'Spicy Banana Chips 60 Gm']"
20794,['Hazelnut Frappe (450 Ml)']
20795,"['South Indian Filter Kaapi (250 ML)', 'Americano (350 ML)', 'Irish Americano (250 ML)']"
20796,['Hot Chocolate (250 ML)']
20797,['Cappucino (250 ML)']
20798,['Cappucino (250 ML)']
20799,"['Caramel Frappe (350 ML)', 'Iced Americano (350 ML)', 'Baked Vada Pav', 'Hyderabadi Chicken Keema Pav']"
20800,"['Baked Vada Pav', 'Hazelnut Frappe (350 ML)', 'Vanilla Praline (350 ML)', 'Mix Berliner 2 Pcs (Lotus Biscoff Berliner)', 'Mix Berliner 2 Pcs (Nutella Berliner)', 'Iced Americano (350 ML)']"
20801,"['Mix Berliner 2 Pcs (Blueberry Cheese Cake Berliner)', 'Classic Frappe (350 ML)', 'Nariyal Irish Cream Frappe (350 ML)', 'Hyderabadi Chicken Keema Pav']"
20802,"['Berliners (Nutella Berliner)', 'Choco-crinkle-cookies (COMBO 3 PCS)']"
20803,['Classic Frappe (350 ML)']
20804,['South Indian Filter Kaapi (150 ML)']
20805,"['Iced Americano (350 ML)', 'Add On Syrup (Add On Vanilla Syrup)', 'Origanal South Indian Frappe (350 ML)', 'Baked Vada Pav']"
20806,['South Indian Filter Kaapi (250 ML)']
20807,"['Iced Americano (350 ML)', 'Baked Vada Pav']"
20808,"['Iced Americano (350 ML)', 'Madagascar Chocochip Frappe (450 ML)']"
20809,"['Madagascar Chocochip Frappe (350 ML)', 'Cappucino (250 ML)']"
20810,"['South Indian Filter Kaapi (150 ML)', 'Papparoti (Add On Nutella sauce)', 'Strawberry White Chocolate Ganache With Rosella Jam Macaroon']"
20811,['Coconut Nankhatai (with Egg)']
20812,"['Almond Frappe (450 Ml)', 'Madagascar Hot Chocolate (350 Ml)']"
20813,['Classic Frappe (450 ML)']
20814,"['Almond Frappe (350 ML)', 'Kaapicino (250 ML)']"
20815,['Papparoti (Plain)']
20816,['Choco-crinkle-cookies (COMBO 6 PCS)']
20817,"['Yellow Banana Chips 60 Gm', 'Madagascar Chocochip Frappe (450 ML)']"
20818,"['Cappucino (250 ML)', 'Origanal South Indian Frappe (350 ML)', 'Origanal South Indian Frappe (350 ML)', 'Origanal South Indian Frappe (350 ML)', 'Cappucino (250 ML)', 'Vanilla Praline (350 ML)']"
20819,"['Cappucino (250 ML)', 'Strawberry White Chocolate Ganache With Rosella Jam Macaroon', 'Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC)']"
20820,"['Classic Frappe (350 ML)', 'Iced Latte (350 ML)']"
20821,['Flat White 250 Ml']
20822,['Cafe Mocha (350 Ml)']
20823,"['Madagascar Hot Chocolate (250 ML)', 'Cafe Mocha (250 ML)', 'Bon Bon (350 ML)']"
20824,"['Americano (350 ML)', 'Americano (250 ML)']"
20825,"['Hot Chocolate (350 ML)', 'Vietnamese (350 ML)', 'ALMOND MILK (200 ML)']"
20826,"['Bon Bon (450 ML)', 'Madagascar Chocochip Frappe (450 ML)']"
20827,"['Classic Frappe (350 ML)', 'Iced Mocha (350 ML)']"
20828,"['Vietnamese (350 ML)', 'ALMOND MILK (200 ML)']"
20829,['Bon Bon (350 ML)']
20830,['Spicy Banana Chips 60 Gm']
20831,"['Papparoti (Add On Nutella sauce)', 'Hot Chocolate (250 ML)', 'Madagascar Chocochip Frappe (350 ML)', 'Calzones Veg (Calzone Veg)', 'South Indian Filter Kaapi (250 ML)', 'South Indian Filter Kaapi (150 ML)']"
20832,"['Vietnamese (450 ML)', 'Gluten Free Hazelnut Brownie']"
20833,"['Hazelnut Frappe (450 ML)', 'Calzones Veg (Calzone Veg)', 'Baked Vada Pav']"
20834,"['Cafe Latte (250 ML)', 'Hot Chocolate (250 ML)']"
20835,['Papparoti (Add On Nutella sauce)']
20836,"['Bon Bon (350 ML)', 'Hyderabadi Chicken Keema Pav']"
20837,"['South Indian Filter Kaapi (250 ML)', 'Kaapicino (250 ML)', 'Vanilla Praline (350 ML)', 'Origanal South Indian Frappe (350 ML)', 'ALMOND MILK (200 ML)', 'Papparoti (Plain)']"
20838,"['Papparoti (Add On Nutella sauce)', 'Calzones Veg (Calzone Paneer)', 'Calzones Veg (Calzone Veg)', 'Mix Tartlet 3 Pcs (chocolate Tartlet)', 'Mix Tartlet 3 Pcs (Filter Kaapi Tartlet)', 'Mix Tartlet 3 Pcs (salted Caramel tartlet)']"
20839,"['Caramel Frappe (350 ML)', 'Vietnamese (350 ML)']"
20840,"['Berliner Mix 3 Pcs (Lotus Biscoff Berliner)', 'Berliner Mix 3 Pcs (Nutella Berliner)', 'Berliner Mix 3 Pcs (Dark Choco Mousse Berliner)', 'Baked Vada Pav']"
20841,"['Yellow Banana Chips 60 Gm', 'Madagascar Chocochip Frappe (450 ML)']"
20842,"['Baked Vada Pav', 'Berliners (Nutella Berliner)', 'Baked Vada Pav', 'Hyderabadi Chicken Keema Pav', 'Berliners (Nutella Berliner)']"
20843,"['Americano (250 ML)', 'Madagascar Chocochip Frappe (350 ML)', 'Cappucino (250 ML)']"
20844,"['Madagascar Chocochip Frappe (350 ML)', 'Americano (250 ML)', 'Baked Vada Pav', 'Baked Vada Pav', 'Calzones Veg (Calzone Veg)']"
20845,"['Hazelnut Frappe (350 ML)', 'Iced Latte (350 ML)', 'Calzones Veg (Calzone Paneer)', 'Berliners (Dark Choco Mousse Berliner)']"
20846,"['Origanal South Indian Frappe (350 ML)', 'Tartlets (Kacha Nimbu Tartlet)']"
20847,"['Cafe Mocha (250 ML)', 'Yellow Banana Chips 60 Gm', 'Spicy Banana Chips 60 Gm']"
20848,['Cafe Mocha (250 ML)']
20849,['Berliners (Dark Choco Mousse Berliner)']
20850,['Kaapicino (250 ML)']
20851,['Hyderabadi Chicken Keema Pav']
20852,"['Baked Vada Pav', 'Sea Salt Dark Mocha Frappe (350 ML)']"
20853,"['Iced Latte (450 ML)', 'Add On Syrup (Add On Vanilla Syrup)', 'Cappucino (250 ML)', 'Baked Vada Pav']"
20854,['Origanal South Indian Frappe (450 ML)']
20855,"['Baked Pav Bhaji', 'Calzones Veg (Calzone Paneer)']"
20856,['Hot Chocolate (250 Ml)']
20857,"['Madagascar Chocochip Frappe (350 ML)', 'Caramel Frappe (350 ML)', 'Origanal South Indian Frappe (450 ML)']"
20858,"['Baked Vada Pav', 'Chicken Calzone', 'Tartlets (chocolate Tartlet)']"
20859,['Iced Americano (350 ML)']
20860,['Cappucino (250 ML)']
20861,['Bon Bon (350 ML)']
20862,['Pour Over']
20863,"['ESPRESSO (60 ML)', 'Americano (250 ML)']"
20864,"['ESPRESSO (60 ML)', 'Origanal South Indian Frappe (350 ML)']"
20865,['Americano (250 ML)']
20866,"['Sea Salt Dark Mocha Frappe (350 ML)', 'Malnad Tonic (choice Of Tonic)']"
20867,"['Berliners (Dark Choco Mousse Berliner)', 'Hyderabadi Chicken Keema Pav', 'Calzones Veg (Calzone Veg)']"
20868,"['Almond Frappe (350 ML)', 'Cappucino (250 ML)']"
20869,"['Origanal South Indian Frappe (450 ML)', 'Spicy Banana Chips 60 Gm']"
20870,"['Hyderabadi Chicken Keema Pav', 'Iced Americano (350 ML)', 'Origanal South Indian Frappe (350 ML)']"
20871,"['Vanilla Praline (350 ML)', 'Calzones Veg (Calzone Veg)', 'Calzones Veg (Calzone Veg)']"
20872,"['Tartlets (chocolate Tartlet)', 'Tartlets (Salted Caramel Tartlet)', 'Tartlets (Filter Kaapi Tartlet)', 'Origanal South Indian Frappe (350 ML)', 'Hot Chocolate (250 ML)', 'South Indian Filter Kaapi (150 ML)', 'Papparoti (Plain)', 'Origanal South Indian Frappe (350 ML)']"
20873,"['Papparoti (Add On Nutella sauce)', 'Rosella Cheesecake Berliner', 'Baked Vada Pav', 'Cafe Mocha (250 ML)', 'Vietnamese (350 ML)', 'Calzones Veg (Calzone Paneer)', 'Calzones Veg (Calzone Veg)']"
20874,['Spicy Banana Chips 60 Gm']
20875,['Vietnamese (350 ML)']
20876,"['Tartlets (Kacha Nimbu Tartlet)', 'Mix Berliner 2 Pcs (Lotus Biscoff Berliner)', 'Mix Berliner 2 Pcs (Nutella Berliner)', 'Baked Vada Pav', 'Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC)']"
20877,['Vietnamese (350 ML)']
20878,"['Classic Frappe (350 ML)', 'Yellow Banana Chips 60 Gm', 'Mix Berliner 2 Pcs (Blueberry Cheese Cake Berliner)', 'Mix Berliner 2 Pcs (Nutella Berliner)']"
20879,"['Cappucino (250 ML)', 'Baked Vada Pav', 'Hyderabadi Chicken Keema Pav', 'South Indian Filter Kaapi (250 ML)', 'Calzones Veg (Calzone Paneer)', 'Spicy Banana Chips 60 Gm']"
20880,"['Cappucino (250 ML)', 'Almond Honey Latte (250 ML)', 'Chicken Calzone', 'Choco-crinkle-cookies (COMBO 3 PCS)', 'Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC)']"
20881,['South Indian Filter Kaapi (250 Ml)']
20882,['Flat White 250 Ml']
20883,"['Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC)', 'Hazelnut Frappe (350 ML)']"
20884,"['Iced Americano (350 ML)', 'Caramel Frappe (350 ML)']"
20885,"['Almond Frappe (350 ML)', 'Hazelnut Frappe (350 ML)', 'Origanal South Indian Frappe (450 ML)', 'Strawberry White Chocolate Ganache With Rosella Jam Macaroon', 'Berliners (Nutella Berliner)', 'Choco-crinkle-cookies (COMBO 3 PCS)']"
20886,"['Nariyal Irish Cream Frappe (350 ML)', 'Vietnamese (350 ML)', 'Hyderabadi Soya Keema Pav']"
20887,['Baked Vada Pav']
